Recency,Frequency,MonetaryValue,Cluster,Segment
40,7,1423.52,2,Potential Loyalists
26,1,228.91,0,At-Risk
10,4,712.8000000000001,2,Potential Loyalists
29,26,8621.81,1,Champions
14,4,1676.06,2,Potential Loyalists
484,3,449.96999999999997,0,At-Risk
296,3,2580.7400000000002,2,Potential Loyalists
417,7,2146.38,2,Potential Loyalists
6,1,486.22,2,Potential Loyalists
399,3,1624.84,2,Potential Loyalists
33,6,1750.18,2,Potential Loyalists
385,3,1586.54,2,Potential Loyalists
49,9,5687.36,1,Champions
95,5,1508.18,2,Potential Loyalists
9,4,1437.85,2,Potential Loyalists
22,1,91.8,0,At-Risk
313,2,478.88,0,At-Risk
122,16,9275.49,1,Champions
610,1,17.65,0,At-Risk
569,2,372.2,0,At-Risk
46,3,1451.16,2,Potential Loyalists
283,2,884.18,0,At-Risk
19,5,1125.15,2,Potential Loyalists
36,5,1875.31,2,Potential Loyalists
64,3,840.08,2,Potential Loyalists
27,1,116.00999999999999,0,At-Risk
22,3,468.41,2,Potential Loyalists
400,1,69.6,0,At-Risk
4,11,2639.35,1,Champions
16,12,9494.84,1,Champions
582,2,831.45,0,At-Risk
46,1,492.84,0,At-Risk
65,2,512.2,2,Potential Loyalists
26,21,14059.19,1,Champions
619,1,572.3100000000001,0,At-Risk
607,1,86.10000000000001,0,At-Risk
381,1,359.69,0,At-Risk
45,1,121.18,0,At-Risk
8,15,7036.18,1,Champions
15,10,1701.29,1,Champions
268,1,71.4,0,At-Risk
40,3,1575.89,2,Potential Loyalists
337,4,367.01,0,At-Risk
11,1,114.60000000000001,0,At-Risk
19,2,260.68,2,Potential Loyalists
544,3,570.66,0,At-Risk
658,1,164.69,0,At-Risk
95,6,2558.58,2,Potential Loyalists
61,1,117.88,0,At-Risk
136,2,472.78,0,At-Risk
414,1,172.38,0,At-Risk
11,7,3068.84,1,Champions
610,1,373.01000000000005,0,At-Risk
10,8,4974.2300000000005,1,Champions
4,67,16432.89,1,Champions
19,4,870.09,2,Potential Loyalists
502,4,1240.6100000000001,0,At-Risk
394,7,1580.3,2,Potential Loyalists
10,10,2648.25,1,Champions
731,1,966.6600000000001,0,At-Risk
443,1,2803.2,0,At-Risk
400,13,8377.32,1,Champions
15,4,535.86,2,Potential Loyalists
59,9,1988.5,2,Potential Loyalists
30,13,8509.51,1,Champions
94,1,353.48,0,At-Risk
10,10,2729.32,1,Champions
20,3,788.08,2,Potential Loyalists
57,11,3851.52,1,Champions
418,7,3264.23,2,Potential Loyalists
402,1,81.6,0,At-Risk
268,1,333.74,0,At-Risk
122,4,666.48,2,Potential Loyalists
127,1,62.63999999999999,0,At-Risk
618,1,76.23,0,At-Risk
78,5,1336.0900000000001,2,Potential Loyalists
240,2,847.41,0,At-Risk
577,1,88.5,0,At-Risk
200,6,969.1200000000001,2,Potential Loyalists
60,2,2155.95,2,Potential Loyalists
3,16,16260.07,1,Champions
273,2,312.46,0,At-Risk
202,1,257.7,0,At-Risk
81,1,358.0,0,At-Risk
226,1,160.95,0,At-Risk
4,30,6360.78,1,Champions
13,7,1357.6,2,Potential Loyalists
74,4,1176.46,2,Potential Loyalists
673,2,356.95,0,At-Risk
212,1,1031.07,0,At-Risk
25,2,744.85,2,Potential Loyalists
388,1,643.0,0,At-Risk
17,6,1006.63,2,Potential Loyalists
262,5,1594.69,2,Potential Loyalists
96,8,1738.52,2,Potential Loyalists
412,1,115.58,0,At-Risk
112,7,699.4,2,Potential Loyalists
203,5,1278.04,2,Potential Loyalists
93,1,121.74000000000001,0,At-Risk
51,2,989.22,2,Potential Loyalists
18,11,3387.43,1,Champions
18,4,501.12,2,Potential Loyalists
125,2,465.68,0,At-Risk
92,9,1608.93,2,Potential Loyalists
461,2,256.04,0,At-Risk
402,1,252.68,0,At-Risk
394,2,399.3,0,At-Risk
157,4,2951.11,2,Potential Loyalists
376,1,51.410000000000004,0,At-Risk
9,3,904.46,2,Potential Loyalists
436,1,149.75,0,At-Risk
12,5,1035.18,2,Potential Loyalists
62,9,1433.38,2,Potential Loyalists
61,1,557.62,0,At-Risk
269,2,944.1,0,At-Risk
263,3,573.45,0,At-Risk
1,39,8704.69,1,Champions
443,1,722.5600000000001,0,At-Risk
53,5,2107.66,2,Potential Loyalists
11,19,6135.04,1,Champions
3,36,9758.26,1,Champions
18,11,3214.69,1,Champions
1,28,8891.7,1,Champions
366,1,1180.0,0,At-Risk
37,1,217.38,0,At-Risk
31,2,276.56,2,Potential Loyalists
113,1,138.98,0,At-Risk
409,1,360.85,0,At-Risk
384,2,241.66,0,At-Risk
64,5,1939.26,2,Potential Loyalists
16,7,523.3,2,Potential Loyalists
41,4,1435.85,2,Potential Loyalists
78,1,137.75,0,At-Risk
122,7,2322.63,2,Potential Loyalists
439,1,350.85,0,At-Risk
18,4,1313.19,2,Potential Loyalists
60,4,373.36,2,Potential Loyalists
331,1,201.19,0,At-Risk
23,6,3364.59,2,Potential Loyalists
600,1,734.91,0,At-Risk
603,3,781.59,0,At-Risk
443,5,927.61,0,At-Risk
724,1,307.95,0,At-Risk
438,1,208.63,0,At-Risk
156,11,3320.84,2,Potential Loyalists
39,5,994.51,2,Potential Loyalists
392,6,1192.94,2,Potential Loyalists
190,3,1689.53,2,Potential Loyalists
360,4,1101.97,2,Potential Loyalists
137,6,792.51,2,Potential Loyalists
8,7,4368.62,1,Champions
1,1,360.0,2,Potential Loyalists
268,3,1218.7,2,Potential Loyalists
169,3,1285.51,2,Potential Loyalists
104,4,618.09,2,Potential Loyalists
155,2,159.2,0,At-Risk
400,1,61.72,0,At-Risk
351,4,1217.99,2,Potential Loyalists
4,16,3754.71,1,Champions
430,1,53.65,0,At-Risk
120,3,273.34,0,At-Risk
23,4,1670.3700000000001,2,Potential Loyalists
7,6,1706.3700000000001,2,Potential Loyalists
28,5,1541.2,2,Potential Loyalists
4,2,598.57,2,Potential Loyalists
451,1,124.75,0,At-Risk
22,12,3445.32,1,Champions
2,3,775.94,2,Potential Loyalists
689,1,310.26,0,At-Risk
37,10,13191.57,1,Champions
66,19,6486.091,1,Champions
1,3,640.76,2,Potential Loyalists
5,58,22082.5,1,Champions
78,6,2228.1,2,Potential Loyalists
72,2,567.36,2,Potential Loyalists
17,1,199.48000000000002,0,At-Risk
3,5,787.85,2,Potential Loyalists
36,18,10513.47,1,Champions
82,1,675.3,0,At-Risk
432,1,281.76,0,At-Risk
39,20,9879.48,1,Champions
316,1,1308.48,0,At-Risk
32,8,5112.97,1,Champions
93,6,2806.18,2,Potential Loyalists
402,1,262.4,0,At-Risk
14,1,350.9,2,Potential Loyalists
411,3,1015.74,0,At-Risk
82,5,6263.75,2,Potential Loyalists
77,1,795.12,0,At-Risk
546,1,1575.26,0,At-Risk
158,4,2445.62,2,Potential Loyalists
201,1,860.12,0,At-Risk
45,12,22100.56,1,Champions
261,1,775.85,0,At-Risk
178,1,353.43,0,At-Risk
68,3,2543.72,2,Potential Loyalists
288,1,389.5,0,At-Risk
463,6,299.4,0,At-Risk
70,1,341.36,0,At-Risk
64,1,233.76,0,At-Risk
11,1,247.32,2,Potential Loyalists
16,2,979.12,2,Potential Loyalists
66,1,373.94,0,At-Risk
60,1,397.97999999999996,0,At-Risk
71,1,743.53,0,At-Risk
122,1,674.7,0,At-Risk
80,1,768.24,0,At-Risk
257,5,3838.36,2,Potential Loyalists
269,1,439.03,0,At-Risk
64,2,1043.31,2,Potential Loyalists
432,4,1553.65,2,Potential Loyalists
472,2,1450.5,0,At-Risk
9,7,5394.07,1,Champions
18,3,1723.86,2,Potential Loyalists
71,1,134.95999999999998,0,At-Risk
34,2,2225.37,2,Potential Loyalists
50,1,56.160000000000004,0,At-Risk
432,1,510.20000000000005,0,At-Risk
257,4,1121.5,2,Potential Loyalists
366,1,616.5600000000001,0,At-Risk
372,1,1509.74,0,At-Risk
505,2,2297.66,0,At-Risk
90,1,378.64,0,At-Risk
61,6,7587.1900000000005,2,Potential Loyalists
415,2,422.8,0,At-Risk
89,2,1792.23,2,Potential Loyalists
99,3,1019.76,2,Potential Loyalists
397,2,1552.88,0,At-Risk
26,3,572.56,2,Potential Loyalists
433,1,62.4,0,At-Risk
32,12,8224.37,1,Champions
281,5,1387.58,2,Potential Loyalists
544,1,305.28000000000003,0,At-Risk
31,11,6680.83,1,Champions
330,1,534.57,0,At-Risk
414,2,835.46,0,At-Risk
417,1,189.44,0,At-Risk
131,3,1185.65,2,Potential Loyalists
11,3,797.96,2,Potential Loyalists
75,1,544.08,0,At-Risk
204,1,59.8,0,At-Risk
677,1,91.14,0,At-Risk
584,4,1131.45,0,At-Risk
2,19,6621.7,1,Champions
185,3,1180.23,2,Potential Loyalists
29,2,1360.99,2,Potential Loyalists
73,10,3191.87,2,Potential Loyalists
192,2,670.34,0,At-Risk
464,3,275.4,0,At-Risk
583,1,310.83,0,At-Risk
127,4,1535.13,2,Potential Loyalists
18,3,229.5,2,Potential Loyalists
1,2,252.49,2,Potential Loyalists
74,6,1213.811,2,Potential Loyalists
427,2,568.92,0,At-Risk
579,3,2244.7,2,Potential Loyalists
2,106,51733.462,1,Champions
24,9,2201.96,1,Champions
107,1,213.55,0,At-Risk
620,1,487.34999999999997,0,At-Risk
640,6,429.44,0,At-Risk
134,6,2494.14,2,Potential Loyalists
473,4,800.67,0,At-Risk
44,3,940.8000000000001,2,Potential Loyalists
5,6,1669.49,2,Potential Loyalists
12,31,12233.6,1,Champions
64,1,221.06,0,At-Risk
150,2,159.85,0,At-Risk
40,8,4103.12,1,Champions
64,1,2626.3,2,Potential Loyalists
429,1,217.03,0,At-Risk
450,1,572.77,0,At-Risk
108,5,3403.63,2,Potential Loyalists
1,22,8167.38,1,Champions
19,6,1006.53,2,Potential Loyalists
10,3,499.98,2,Potential Loyalists
11,4,1006.8,2,Potential Loyalists
19,2,679.45,2,Potential Loyalists
67,8,3316.24,2,Potential Loyalists
571,2,439.1,0,At-Risk
501,4,658.3199999999999,0,At-Risk
74,5,1666.8600000000001,2,Potential Loyalists
5,9,4475.2300000000005,1,Champions
2,1,196.89,2,Potential Loyalists
14,7,3408.06,1,Champions
547,1,46.5,0,At-Risk
255,3,986.61,0,At-Risk
423,7,1295.25,2,Potential Loyalists
92,2,720.9,2,Potential Loyalists
667,3,419.87,0,At-Risk
449,6,1280.16,2,Potential Loyalists
374,2,631.6800000000001,0,At-Risk
626,1,241.89999999999998,0,At-Risk
430,11,3881.89,2,Potential Loyalists
23,3,1129.14,2,Potential Loyalists
17,13,9240.87,1,Champions
24,1,291.88,0,At-Risk
27,13,4120.04,1,Champions
26,11,7190.92,1,Champions
259,3,729.8,0,At-Risk
166,3,781.6899999999999,2,Potential Loyalists
641,1,219.87,0,At-Risk
25,6,2905.93,2,Potential Loyalists
18,6,1766.72,2,Potential Loyalists
689,2,148.22,0,At-Risk
7,16,11959.27,1,Champions
625,2,1160.4099999999999,0,At-Risk
29,2,183.44,0,At-Risk
39,6,4160.0,2,Potential Loyalists
253,5,1153.85,2,Potential Loyalists
58,6,3097.64,2,Potential Loyalists
446,2,931.12,0,At-Risk
184,5,1013.35,2,Potential Loyalists
11,2,1083.71,2,Potential Loyalists
2,72,13390.51,1,Champions
653,1,82.4,0,At-Risk
99,2,165.0,0,At-Risk
1,4,2531.58,1,Champions
464,2,592.24,0,At-Risk
61,8,2657.7599999999998,2,Potential Loyalists
236,3,663.79,0,At-Risk
191,4,1431.78,2,Potential Loyalists
179,5,2061.4700000000003,2,Potential Loyalists
38,11,2834.17,1,Champions
469,5,2215.78,2,Potential Loyalists
201,4,851.37,2,Potential Loyalists
417,2,627.82,0,At-Risk
46,11,3830.84,1,Champions
232,2,336.09,0,At-Risk
66,1,140.34,0,At-Risk
241,3,790.72,0,At-Risk
233,11,3019.2200000000003,2,Potential Loyalists
78,3,1122.41,2,Potential Loyalists
58,5,846.87,2,Potential Loyalists
17,23,15587.88,1,Champions
105,4,449.52,2,Potential Loyalists
654,1,154.25,0,At-Risk
52,27,4566.56,1,Champions
136,3,1269.84,2,Potential Loyalists
275,2,618.63,0,At-Risk
312,1,316.26000000000005,0,At-Risk
8,10,5374.26,1,Champions
11,2,653.33,2,Potential Loyalists
283,6,1320.33,2,Potential Loyalists
730,1,327.38,0,At-Risk
18,5,1159.11,2,Potential Loyalists
23,4,1466.3,2,Potential Loyalists
288,3,2885.11,2,Potential Loyalists
17,5,780.5,2,Potential Loyalists
71,6,1905.39,2,Potential Loyalists
64,1,295.93,0,At-Risk
73,4,4393.63,2,Potential Loyalists
316,5,1639.2,2,Potential Loyalists
3,4,2479.16,2,Potential Loyalists
244,2,287.05,0,At-Risk
9,8,1114.72,2,Potential Loyalists
1,11,4558.29,1,Champions
677,1,282.76,0,At-Risk
261,4,713.39,0,At-Risk
127,3,824.59,2,Potential Loyalists
74,4,815.9000000000001,2,Potential Loyalists
73,6,1265.82,2,Potential Loyalists
21,4,1685.26,2,Potential Loyalists
60,3,2128.42,2,Potential Loyalists
86,1,659.4399999999999,0,At-Risk
78,2,343.21,0,At-Risk
59,11,6909.4,1,Champions
1,3,1093.65,2,Potential Loyalists
30,1,125.80000000000001,0,At-Risk
33,6,5101.52,2,Potential Loyalists
41,5,680.1800000000001,2,Potential Loyalists
15,2,628.78,2,Potential Loyalists
738,2,1182.0,0,At-Risk
34,12,4683.74,1,Champions
79,2,307.76,0,At-Risk
634,1,402.97999999999996,0,At-Risk
205,6,1738.52,2,Potential Loyalists
34,1,210.31,0,At-Risk
183,3,270.79,0,At-Risk
2,35,7720.9,1,Champions
403,1,89.5,0,At-Risk
1,7,3448.29,1,Champions
426,2,717.85,0,At-Risk
43,12,3112.73,1,Champions
86,7,1569.3600000000001,2,Potential Loyalists
467,3,632.39,0,At-Risk
427,2,785.25,0,At-Risk
377,17,4006.17,1,Champions
634,2,1439.6100000000001,0,At-Risk
40,6,829.0,2,Potential Loyalists
391,2,374.64,0,At-Risk
12,5,1092.14,2,Potential Loyalists
408,1,175.53,0,At-Risk
96,3,908.99,2,Potential Loyalists
26,8,1005.8,2,Potential Loyalists
383,1,349.51,0,At-Risk
319,2,244.2,0,At-Risk
66,22,6978.92,1,Champions
675,1,517.8,0,At-Risk
380,7,1638.28,2,Potential Loyalists
74,13,8999.19,1,Champions
429,2,200.82,0,At-Risk
28,13,3032.26,1,Champions
6,4,605.06,2,Potential Loyalists
513,2,990.0,0,At-Risk
7,1,174.37,2,Potential Loyalists
216,11,1820.72,2,Potential Loyalists
82,8,4838.18,2,Potential Loyalists
84,2,777.53,2,Potential Loyalists
144,37,17249.55,1,Champions
19,3,414.8,2,Potential Loyalists
41,5,1708.1200000000001,2,Potential Loyalists
428,4,1083.69,0,At-Risk
173,1,192.85,0,At-Risk
17,4,893.78,2,Potential Loyalists
243,1,239.49,0,At-Risk
13,26,4546.54,1,Champions
206,1,1384.25,0,At-Risk
50,6,916.47,2,Potential Loyalists
411,1,421.25,0,At-Risk
23,5,732.0699999999999,2,Potential Loyalists
10,28,11551.74,1,Champions
25,11,3489.28,1,Champions
409,1,147.66,0,At-Risk
15,5,1539.04,2,Potential Loyalists
406,1,107.75,0,At-Risk
309,2,280.53000000000003,0,At-Risk
390,2,241.68,0,At-Risk
156,2,1445.031,2,Potential Loyalists
307,3,392.45,0,At-Risk
531,3,684.54,0,At-Risk
541,1,131.53,0,At-Risk
64,4,1673.5,2,Potential Loyalists
16,9,2478.95,1,Champions
15,6,1120.74,2,Potential Loyalists
11,18,6349.59,1,Champions
65,7,2093.94,2,Potential Loyalists
36,4,247.95999999999998,2,Potential Loyalists
108,14,5523.6900000000005,1,Champions
53,2,533.32,2,Potential Loyalists
517,3,818.22,0,At-Risk
6,2,697.04,2,Potential Loyalists
400,2,396.71,0,At-Risk
47,5,789.59,2,Potential Loyalists
1,33,10167.630000000001,1,Champions
312,2,518.42,0,At-Risk
45,4,1185.14,2,Potential Loyalists
65,4,1025.17,2,Potential Loyalists
26,1,164.34,0,At-Risk
659,1,717.62,0,At-Risk
387,2,522.67,0,At-Risk
29,3,280.53999999999996,2,Potential Loyalists
40,2,1078.31,2,Potential Loyalists
541,1,236.2,0,At-Risk
593,1,167.35,0,At-Risk
12,14,2175.88,1,Champions
89,10,3319.53,2,Potential Loyalists
633,1,818.29,0,At-Risk
453,5,1039.8500000000001,2,Potential Loyalists
24,6,2359.19,2,Potential Loyalists
319,8,6272.53,2,Potential Loyalists
568,2,288.1,0,At-Risk
40,8,1278.75,2,Potential Loyalists
174,1,177.34,0,At-Risk
545,2,231.69,0,At-Risk
528,1,112.34,0,At-Risk
117,1,213.85,0,At-Risk
696,1,658.95,0,At-Risk
31,10,2566.49,1,Champions
388,1,462.08,0,At-Risk
597,1,301.26,0,At-Risk
253,2,707.04,0,At-Risk
59,7,2245.9,2,Potential Loyalists
676,1,310.14,0,At-Risk
23,19,13370.86,1,Champions
5,7,2031.78,1,Champions
100,11,3070.42,2,Potential Loyalists
25,8,3648.15,1,Champions
33,16,5073.47,1,Champions
68,4,2999.16,2,Potential Loyalists
37,5,949.12,2,Potential Loyalists
52,3,810.5,2,Potential Loyalists
16,1,122.64,0,At-Risk
74,2,1346.27,2,Potential Loyalists
611,1,405.0,0,At-Risk
641,5,1016.47,0,At-Risk
216,4,514.72,0,At-Risk
31,10,2156.77,1,Champions
16,4,2624.26,2,Potential Loyalists
120,1,252.1,0,At-Risk
400,2,326.25,0,At-Risk
10,8,3071.68,1,Champions
400,8,1764.02,2,Potential Loyalists
257,6,1678.88,2,Potential Loyalists
17,10,3288.0,1,Champions
35,3,226.85,2,Potential Loyalists
46,5,2570.85,2,Potential Loyalists
488,1,152.2,0,At-Risk
43,11,6308.0,1,Champions
114,6,2280.51,2,Potential Loyalists
165,4,1078.85,2,Potential Loyalists
11,2,382.14,2,Potential Loyalists
10,9,6025.5,1,Champions
206,12,4894.88,1,Champions
400,1,314.59,0,At-Risk
603,1,325.24,0,At-Risk
86,11,2250.11,2,Potential Loyalists
179,5,2047.51,2,Potential Loyalists
386,3,1711.6599999999999,2,Potential Loyalists
60,5,127.89999999999999,0,At-Risk
149,1,305.02,0,At-Risk
3,35,13089.94,1,Champions
51,3,413.55,2,Potential Loyalists
75,1,349.7,0,At-Risk
395,1,194.95,0,At-Risk
301,3,419.92,0,At-Risk
19,2,396.92,2,Potential Loyalists
433,1,240.68,0,At-Risk
151,2,486.82000000000005,0,At-Risk
539,2,243.9,0,At-Risk
405,2,556.1899999999999,0,At-Risk
152,1,232.6,0,At-Risk
494,3,281.26,0,At-Risk
1,12,11435.67,1,Champions
18,4,827.83,2,Potential Loyalists
187,1,59.5,0,At-Risk
458,1,258.6,0,At-Risk
286,4,596.98,0,At-Risk
3,7,3119.44,1,Champions
183,3,409.04,0,At-Risk
438,1,11880.84,2,Potential Loyalists
635,1,375.5,0,At-Risk
63,2,1259.5,2,Potential Loyalists
59,1,172.25,0,At-Risk
396,1,212.78,0,At-Risk
25,5,3114.4,2,Potential Loyalists
374,9,2011.82,2,Potential Loyalists
4,143,196482.81,1,Champions
31,16,2770.73,1,Champions
422,3,2020.4,2,Potential Loyalists
39,1,151.29999999999998,0,At-Risk
597,2,465.53000000000003,0,At-Risk
155,2,764.15,0,At-Risk
26,13,2613.46,1,Champions
447,1,161.0,0,At-Risk
446,1,135.18,0,At-Risk
318,2,425.56,0,At-Risk
5,9,2308.06,1,Champions
8,7,2035.33,1,Champions
303,2,631.17,0,At-Risk
267,5,3365.86,2,Potential Loyalists
271,1,296.88,0,At-Risk
4,18,7591.75,1,Champions
32,3,509.52,2,Potential Loyalists
219,9,1792.26,2,Potential Loyalists
247,2,766.42,0,At-Risk
408,3,743.26,0,At-Risk
465,1,161.35,0,At-Risk
281,17,8483.29,1,Champions
269,1,138.28,0,At-Risk
32,8,1763.3,2,Potential Loyalists
246,2,306.55,0,At-Risk
15,11,2815.25,1,Champions
117,4,799.9,2,Potential Loyalists
36,2,741.54,2,Potential Loyalists
132,10,5635.41,1,Champions
217,6,1209.2,2,Potential Loyalists
637,1,213.01,0,At-Risk
50,8,1980.56,2,Potential Loyalists
39,2,1079.6599999999999,2,Potential Loyalists
29,8,1080.05,2,Potential Loyalists
37,16,2855.17,1,Champions
436,3,724.73,0,At-Risk
136,2,752.6,0,At-Risk
219,2,610.59,0,At-Risk
28,1,491.86,2,Potential Loyalists
411,2,487.03000000000003,0,At-Risk
509,4,6701.640000000001,2,Potential Loyalists
25,13,9813.22,1,Champions
5,7,2766.21,1,Champions
200,1,339.59999999999997,0,At-Risk
396,1,440.93,0,At-Risk
18,2,292.2,2,Potential Loyalists
241,5,1597.77,2,Potential Loyalists
72,3,668.4300000000001,2,Potential Loyalists
17,12,3131.02,1,Champions
3,7,1341.6,1,Champions
95,2,1156.36,2,Potential Loyalists
162,2,777.36,0,At-Risk
414,1,176.69,0,At-Risk
374,2,249.39999999999998,0,At-Risk
96,9,2268.35,2,Potential Loyalists
54,11,3602.1800000000003,1,Champions
288,1,296.25,0,At-Risk
124,7,1590.73,2,Potential Loyalists
288,4,2094.57,2,Potential Loyalists
152,3,447.05,0,At-Risk
4,9,2161.35,1,Champions
2,23,9207.5,1,Champions
675,1,195.55,0,At-Risk
12,15,9416.98,1,Champions
33,2,659.4100000000001,2,Potential Loyalists
54,5,1363.6399999999999,2,Potential Loyalists
50,6,1952.17,2,Potential Loyalists
219,5,2472.48,2,Potential Loyalists
63,3,5217.4400000000005,2,Potential Loyalists
71,6,2953.26,2,Potential Loyalists
653,1,352.821,0,At-Risk
495,1,190.35,0,At-Risk
2,73,35540.53,1,Champions
727,2,875.97,0,At-Risk
2,20,5800.42,1,Champions
422,4,785.37,0,At-Risk
64,9,5728.82,1,Champions
34,8,3114.22,2,Potential Loyalists
397,2,301.54,0,At-Risk
82,1,345.0,0,At-Risk
591,1,1049.66,0,At-Risk
428,2,623.98,0,At-Risk
1,61,56478.42,1,Champions
103,4,1124.49,2,Potential Loyalists
516,1,161.13,0,At-Risk
7,3,735.82,2,Potential Loyalists
251,3,778.83,0,At-Risk
13,13,1793.72,1,Champions
488,4,1542.09,2,Potential Loyalists
10,14,2910.23,1,Champions
429,4,542.49,0,At-Risk
367,6,3358.94,2,Potential Loyalists
76,6,1222.5,2,Potential Loyalists
505,1,3.75,0,At-Risk
388,1,239.45999999999998,0,At-Risk
4,1,348.8,2,Potential Loyalists
128,2,1516.0,2,Potential Loyalists
66,3,383.95,2,Potential Loyalists
647,1,96.0,0,At-Risk
547,1,126.03,0,At-Risk
388,4,836.3,0,At-Risk
499,1,289.7,0,At-Risk
437,3,1179.45,0,At-Risk
1,110,75836.87,1,Champions
117,9,2803.57,2,Potential Loyalists
310,3,1679.56,2,Potential Loyalists
67,1,324.8,0,At-Risk
139,19,26259.11,1,Champions
255,3,1338.91,2,Potential Loyalists
31,9,3208.52,1,Champions
52,2,924.6,2,Potential Loyalists
64,1,256.38,0,At-Risk
367,3,534.8,0,At-Risk
6,5,1747.66,2,Potential Loyalists
305,3,679.7,0,At-Risk
29,3,1499.01,2,Potential Loyalists
184,3,814.5,2,Potential Loyalists
42,3,539.0,2,Potential Loyalists
40,8,2765.47,2,Potential Loyalists
92,3,2257.32,2,Potential Loyalists
22,8,7475.74,1,Champions
24,2,571.6700000000001,2,Potential Loyalists
29,2,382.98,2,Potential Loyalists
430,1,61.28,0,At-Risk
302,6,2642.35,2,Potential Loyalists
418,3,660.65,0,At-Risk
145,6,1410.73,2,Potential Loyalists
6,2,632.0,2,Potential Loyalists
19,7,3403.4500000000003,1,Champions
33,12,3314.76,1,Champions
622,2,255.59,0,At-Risk
176,1,189.5,0,At-Risk
58,3,412.05,2,Potential Loyalists
22,1,209.49,0,At-Risk
421,1,102.0,0,At-Risk
582,1,156.85000000000002,0,At-Risk
16,18,7023.58,1,Champions
19,2,613.6899999999999,2,Potential Loyalists
159,2,701.36,0,At-Risk
577,2,324.19,0,At-Risk
25,7,1095.27,2,Potential Loyalists
399,2,620.37,0,At-Risk
212,2,271.24,0,At-Risk
6,10,1966.09,1,Champions
486,1,139.95000000000002,0,At-Risk
416,1,651.4,0,At-Risk
253,1,85.0,0,At-Risk
59,18,5629.91,1,Champions
381,1,319.75,0,At-Risk
11,1,361.62,2,Potential Loyalists
65,1,312.98,0,At-Risk
25,4,1307.79,2,Potential Loyalists
720,1,310.72,0,At-Risk
92,8,3335.0,2,Potential Loyalists
52,5,3469.3,2,Potential Loyalists
129,1,1595.48,2,Potential Loyalists
96,8,4606.46,2,Potential Loyalists
611,1,187.35000000000002,0,At-Risk
57,1,1090.14,2,Potential Loyalists
9,39,12253.96,1,Champions
501,4,1310.3400000000001,0,At-Risk
169,11,1142.03,2,Potential Loyalists
393,6,1001.01,2,Potential Loyalists
57,1,216.17,0,At-Risk
326,2,515.86,0,At-Risk
1,5,1245.9,2,Potential Loyalists
429,2,273.26,0,At-Risk
18,9,2556.09,1,Champions
248,4,1239.55,2,Potential Loyalists
387,1,662.4000000000001,0,At-Risk
58,4,501.56,2,Potential Loyalists
74,1,145.67000000000002,0,At-Risk
31,3,1015.29,2,Potential Loyalists
7,2,3192.54,2,Potential Loyalists
123,10,8111.57,1,Champions
2,15,5712.08,1,Champions
23,17,7885.85,1,Champions
527,3,919.57,0,At-Risk
120,8,1038.92,2,Potential Loyalists
358,7,2049.15,2,Potential Loyalists
54,14,4814.37,1,Champions
64,1,122.7,0,At-Risk
86,3,449.68,2,Potential Loyalists
55,4,2473.06,2,Potential Loyalists
646,1,395.5,0,At-Risk
21,17,4391.66,1,Champions
4,43,45179.1,1,Champions
3,5,1191.13,2,Potential Loyalists
11,15,6560.02,1,Champions
7,10,1888.48,1,Champions
189,2,506.8,0,At-Risk
71,1,243.56,0,At-Risk
204,1,349.55,0,At-Risk
120,7,2169.05,2,Potential Loyalists
93,6,1991.23,2,Potential Loyalists
1,14,2927.38,1,Champions
378,3,863.5600000000001,0,At-Risk
27,6,1267.6499999999999,2,Potential Loyalists
298,1,821.1,0,At-Risk
24,3,564.62,2,Potential Loyalists
28,6,4008.52,2,Potential Loyalists
626,1,388.55,0,At-Risk
50,3,1160.72,2,Potential Loyalists
326,2,686.4,0,At-Risk
16,2,388.52,2,Potential Loyalists
183,6,1610.59,2,Potential Loyalists
72,15,5676.34,1,Champions
632,5,34095.26,2,Potential Loyalists
400,1,165.45000000000002,0,At-Risk
37,2,332.64,2,Potential Loyalists
733,1,312.65,0,At-Risk
409,1,42.0,0,At-Risk
692,1,136.8,0,At-Risk
80,4,2369.55,2,Potential Loyalists
423,2,286.6,0,At-Risk
57,20,4234.99,1,Champions
424,1,124.95,0,At-Risk
507,1,42.22,0,At-Risk
12,2,626.45,2,Potential Loyalists
394,1,70.80000000000001,0,At-Risk
464,4,1275.81,0,At-Risk
50,2,272.04,0,At-Risk
50,2,1212.8400000000001,2,Potential Loyalists
59,4,1360.68,2,Potential Loyalists
432,4,1774.68,2,Potential Loyalists
402,4,730.7,0,At-Risk
352,3,865.2,0,At-Risk
54,1,351.13,0,At-Risk
2,6,1838.8500000000001,1,Champions
93,4,678.25,2,Potential Loyalists
23,1,223.85000000000002,0,At-Risk
75,2,708.26,2,Potential Loyalists
11,4,464.57,2,Potential Loyalists
169,11,3494.1,2,Potential Loyalists
58,2,337.34,0,At-Risk
96,11,5257.38,1,Champions
295,1,307.4,0,At-Risk
109,2,608.7900000000001,0,At-Risk
264,1,922.1,0,At-Risk
597,3,6116.92,2,Potential Loyalists
180,3,939.66,2,Potential Loyalists
169,2,880.13,0,At-Risk
35,1,71.66,0,At-Risk
23,7,1560.96,2,Potential Loyalists
17,4,839.14,2,Potential Loyalists
22,15,11122.300000000001,1,Champions
535,1,320.0,0,At-Risk
578,1,246.54,0,At-Risk
653,1,200.43,0,At-Risk
